iter	Passed	Remaining
410	4767	12631
411	4777	12615
412	4787	12599
413	4797	12583
414	4807	12568
415	4817	12552
416	4827	12537
417	4837	12521
418	4847	12506
419	4857	12490
420	4867	12474
421	4877	12459
422	4887	12444
423	4897	12428
424	4907	12413
425	4917	12398
426	4927	12382
427	4937	12367
428	4947	12352
429	4957	12336
430	4967	12321
431	4977	12305
432	4988	12291
433	4998	12276
434	5008	12261
435	5018	12246
436	5028	12231
437	5038	12215
438	5048	12200
439	5058	12185
440	5068	12170
441	5078	12155
442	5088	12140
443	5098	12125
444	5108	12111
445	5118	12097
446	5128	12081
447	5138	12066
448	5148	12051
449	5158	12036
450	5168	12022
451	5178	12006
452	5188	11991
453	5198	11976
454	5208	11961
455	5218	11947
456	5228	11932
457	5238	11917
458	5247	11901
459	5257	11887
460	5267	11872
461	5277	11857
462	5287	11843
463	5297	11828
464	5308	11815
465	5318	11800
466	5328	11786
467	5338	11773
468	5348	11758
469	5358	11743
470	5369	11730
471	5379	11716
472	5389	11701
473	5399	11686
474	5409	11672
475	5419	11657
476	5429	11643
477	5439	11629
478	5448	11614
479	5459	11601
480	5469	11586
481	5479	11572
482	5489	11557
483	5499	11543
484	5509	11529
485	5519	11515
486	5529	11501
487	5539	11488
488	5549	11473
489	5559	11460
490	5569	11445
491	5579	11431
492	5589	11417
493	5599	11403
494	5609	11389
495	5620	11376
496	5630	11362
497	5640	11348
498	5650	11334
499	5660	11320
500	5670	11306
501	5680	11292
502	5690	11278
503	5700	11264
504	5710	11251
505	5720	11236
506	5730	11222
507	5740	11209
508	5749	11194
509	5760	11182
510	5770	11168
511	5780	11154
512	5790	11141
513	5800	11127
514	5810	11113
515	5820	11100
516	5831	11086
517	5841	11073
518	5851	11059
519	5861	11045
520	5871	11032
521	5881	11019
522	5891	11005
523	5901	10991
524	5911	10978
525	5921	10964
526	5931	10951
527	5941	10938
528	5951	10924
529	5961	10910
530	5971	10896
531	5981	10883
532	5991	10869
533	6001	10857
534	6011	10843
535	6021	10830
536	6031	10816
537	6041	10802
538	6051	10789
539	6061	10775
540	6071	10762
541	6081	10748
542	6091	10735
543	6101	10721
544	6111	10708
545	6121	10695
546	6131	10683
547	6141	10669
548	6151	10656
549	6161	10643
550	6171	10629
551	6181	10616
552	6191	10603
553	6201	10590
554	6211	10576
555	6221	10563
556	6231	10550
557	6241	10536
558	6251	10523
559	6261	10510
560	6271	10497
561	6281	10483
562	6291	10470
563	6301	10457
564	6311	10444
565	6321	10432
566	6332	10419
567	6342	10407
568	6353	10395
569	6363	10382
570	6373	10369
571	6383	10356
572	6393	10343
573	6403	10330
574	6413	10317
575	6423	10304
576	6433	10291
