iter	MultiClass
0	2.255834263
1	2.211173968
2	2.168951451
3	2.128716518
4	2.091372349
5	2.054148158
6	2.018961496
7	1.985272042
8	1.953625279
9	1.923202148
10	1.89442899
11	1.867047294
12	1.840885603
13	1.814771345
14	1.790033622
15	1.765024135
16	1.741964425
17	1.719177595
18	1.697810128
19	1.677284877
20	1.657492467
21	1.638653599
22	1.620320592
23	1.601601981
24	1.584158343
25	1.567191825
26	1.551114955
27	1.535310547
28	1.520391881
29	1.506075893
30	1.491208566
31	1.477398577
32	1.463381836
33	1.450927176
34	1.438060686
35	1.425309291
36	1.412802595
37	1.40054841
38	1.389533901
39	1.378422154
40	1.367404157
41	1.357155552
42	1.346138532
43	1.335982003
44	1.326193778
45	1.316387695
46	1.307031529
47	1.297452567
48	1.288421875
49	1.279577009
50	1.270857561
51	1.262195592
52	1.254157366
53	1.245966518
54	1.237425921
55	1.229702148
56	1.221836217
57	1.21378418
58	1.206327288
59	1.19890053
60	1.191625279
61	1.184288644
62	1.176942801
63	1.170064732
64	1.163428711
65	1.156655273
66	1.150041016
67	1.143624721
68	1.137502581
69	1.131563128
70	1.12538072
71	1.11951137
72	1.113447266
73	1.107645787
74	1.101881557
75	1.096025112
76	1.090264927
77	1.084717773
78	1.079305385
79	1.073798828
80	1.068329381
81	1.062902134
82	1.057798968
83	1.052833984
84	1.047752651
85	1.042788156
86	1.037797433
87	1.033074428
88	1.028183733
89	1.023491908
90	1.018764648
91	1.014158622
92	1.009646763
93	1.004921038
94	1.000314941
95	0.9959715402
96	0.9916879185
97	0.9870147879
98	0.9828016183
99	0.9785453404
100	0.974082659
101	0.9698018276
102	0.9655142997
103	0.9614817243
104	0.957664481
105	0.9534183873
106	0.9493118025
107	0.9455375977
108	0.9418809989
109	0.9380108817
110	0.9340379464
111	0.9302952009
112	0.926426409
113	0.9227000558
114	0.918949986
115	0.915351981
116	0.9116061663
117	0.9082492327
118	0.9047033343
119	0.9010127651
120	0.8973124302
121	0.8937138672
122	0.8902546038
123	0.886840053
124	0.8833819754
125	0.8798476563
126	0.8764291295
127	0.8727872489
128	0.8693382394
129	0.8660034877
130	0.8626866629
131	0.859304548
132	0.8561196289
133	0.8530147879
134	0.8498844169
135	0.8466494141
136	0.8433105469
137	0.8401265346
138	0.8369040876
139	0.8337875977
140	0.8307278181
141	0.8276810128
142	0.8244559152
143	0.8214878627
144	0.8183918108
145	0.8154949777
146	0.8123488421
147	0.8093775809
148	0.8064125977
149	0.8034760045
150	0.8004446847
151	0.7976304408
152	0.7947410017
153	0.7918423549
154	0.7890146484
155	0.7862822266
156	0.7835537807
157	0.7808163365
158	0.778019043
159	0.7751573661
160	0.7725816825
161	0.7699197126
162	0.7671649693
163	0.764523298
164	0.7618178711
165	0.7590488979
166	0.7564858398
167	0.7539710519
168	0.7512887835
169	0.7487679967
170	0.7461061663
171	0.7435705218
172	0.7409905831
173	0.7385087891
174	0.7360689174
175	0.7335897042
176	0.7310472935
177	0.7285029297
178	0.7260209961
179	0.7234639369
180	0.7210216936
181	0.7186139788
182	0.71610226
183	0.7136921735
184	0.7111903599
185	0.7087768555
186	0.7064742606
187	0.704214774
188	0.7019259905
189	0.6996226283
190	0.6974159459
191	0.6950285296
192	0.6927078683
193	0.6903732561
194	0.6880427595
195	0.6858240792
196	0.6835447126
197	0.6813090123
198	0.6790954939
199	0.6769199219
200	0.6746582031
201	0.6723535854
202	0.6701462751
203	0.6679470564
204	0.6658454939
205	0.6636087472
206	0.6613918108
207	0.6593033622
208	0.6571075614
209	0.654929548
210	0.6528620954
211	0.650761091
212	0.6486234654
213	0.6465080218
214	0.6444265485
215	0.6423358677
216	0.6401950335
217	0.6380984235
218	0.636093192
219	0.6340596401
220	0.631941197
221	0.6299617048
222	0.6280368304
223	0.6259985352
224	0.6240236468
225	0.6220804269
226	0.6201473912
227	0.618163923
228	0.6162269113
229	0.614230957
230	0.6122561384
231	0.6103092215
232	0.6083619559
233	0.6064039481
234	0.6044142718
235	0.6025751256
236	0.6006915458
237	0.5989294085
238	0.5969794224
239	0.5951870117
240	0.5933116629
241	0.5915798689
242	0.5897562081
243	0.5878330078
244	0.5859548689
245	0.5841320801
246	0.582271031
247	0.5804071568
248	0.578685791
249	0.5768708845
250	0.5749313616
251	0.5731996024
252	0.5714655413
253	0.5696398577
254	0.5679029367
255	0.5660303781
256	0.5642621373
257	0.5624694127
258	0.5607029157
259	0.5589845494
260	0.5572945033
261	0.5555160784
262	0.553817034
263	0.5521195592
264	0.5505289481
265	0.548804548
266	0.54714488
267	0.5455160435
268	0.5438229283
269	0.5422344099
270	0.5405821359
271	0.5388821498
272	0.5371156529
273	0.5354925014
274	0.5338696638
275	0.5322932129
276	0.5307441406
277	0.52912357
278	0.5275586635
279	0.5259533343
280	0.5243789063
281	0.5228276367
282	0.5212955845
283	0.5196470424
284	0.5180879953
285	0.5165728934
286	0.5149848284
287	0.5133598284
288	0.511859375
289	0.5102754953
290	0.5087709263
291	0.5072678571
292	0.5057114955
293	0.5042260742
294	0.502746303
295	0.5013386579
296	0.4998135812
297	0.4983614676
298	0.4968267997
299	0.4954161203
300	0.4940145089
301	0.4925350865
302	0.491080113
303	0.489679269
304	0.4882580218
305	0.4868136858
306	0.4854115165
307	0.4839680525
308	0.482648577
